University,Country,URL
1 December University of Alba Iulia,Romania,"=HYPERLINK(""http://www.uab.ro/"", ""http://www.uab.ro/"")"
2nd Military Medical University,China,"=HYPERLINK(""http://www.smmu.edu.cn/"", ""http://www.smmu.edu.cn/"")"
3rd Military Medical University,China,"=HYPERLINK(""http://www.tmmu.edu.cn/"", ""http://www.tmmu.edu.cn/"")"
4th Military Medical University,China,"=HYPERLINK(""https://www.fmmu.edu.cn/"", ""https://www.fmmu.edu.cn/"")"
AAB College,Kosovo,"=HYPERLINK(""https://aab-edu.net/"", ""https://aab-edu.net/"")"
Aalborg Business College,Denmark,"=HYPERLINK(""http://www.ah.dk/"", ""http://www.ah.dk/"")"
Aalborg University,Denmark,"=HYPERLINK(""http://www.aau.dk/"", ""http://www.aau.dk/"")"
Aalto University,Finland,"=HYPERLINK(""http://www.aalto.fi/"", ""http://www.aalto.fi/"")"
Aarhus School of Architecture,Denmark,"=HYPERLINK(""http://www.a-aarhus.dk/"", ""http://www.a-aarhus.dk/"")"
Aarhus School of Business,Denmark,"=HYPERLINK(""http://bss.au.dk/"", ""http://bss.au.dk/"")"
Aarhus Technical College,Denmark,"=HYPERLINK(""http://www.ats.dk/"", ""http://www.ats.dk/"")"
Aarhus University,Denmark,"=HYPERLINK(""http://www.au.dk/"", ""http://www.au.dk/"")"
Abai State University,Kazakhstan,"=HYPERLINK(""http://www.kaznpu.kz/"", ""http://www.kaznpu.kz/"")"
Abant Izzet Baysal University,Turkey,"=HYPERLINK(""http://www.ibu.edu.tr/"", ""http://www.ibu.edu.tr/"")"
Abasyn University Peshawar,Pakistan,"=HYPERLINK(""http://www.abasyn.edu.pk/"", ""http://www.abasyn.edu.pk/"")"
Abdul Kalam Technical University,India,"=HYPERLINK(""https://aktu.ac.in/"", ""https://aktu.ac.in/"")"
Abdul Wali Khan University Mardan,Pakistan,"=HYPERLINK(""https://awkum.edu.pk/"", ""https://awkum.edu.pk/"")"
Abdus Salam international centre for theoretical physics,Italy,"=HYPERLINK(""http://www.ictp.trieste.it/"", ""http://www.ictp.trieste.it/"")"
Abia State Polytechnic,Nigeria,"=HYPERLINK(""http://abiastatepolytechnic.edu.ng/"", ""http://abiastatepolytechnic.edu.ng/"")"
Abia State University,Nigeria,"=HYPERLINK(""https://abiastateuniversity.edu.ng/"", ""https://abiastateuniversity.edu.ng/"")"
Abkhazian State University,Georgia,"=HYPERLINK(""https://www.agu.site/"", ""https://www.agu.site/"")"
ABM University College,Botswana,"=HYPERLINK(""http://www.abm.ac.bw/"", ""http://www.abm.ac.bw/"")"
Abo Akademi University,Finland,"=HYPERLINK(""http://www.abo.fi/"", ""http://www.abo.fi/"")"
Abrar University,Somalia,"=HYPERLINK(""http://www.abrar.edu.so/"", ""http://www.abrar.edu.so/"")"
ABTI American University of Nigeria,Nigeria,"=HYPERLINK(""http://www.aun.edu.ng/"", ""http://www.aun.edu.ng/"")"
Abubakar Tafawa Balewa University,Nigeria,"=HYPERLINK(""http://www.atbu.edu.ng/"", ""http://www.atbu.edu.ng/"")"
Abu Dhabi University,United Arab Emirates,"=HYPERLINK(""https://www.adu.ac.ae/"", ""https://www.adu.ac.ae/"")"
Abylai Khan University,Kazakhstan,"=HYPERLINK(""http://www.ablaikhan.kz/"", ""http://www.ablaikhan.kz/"")"
Academia de Studii Economice din Bucuresti,Romania,"=HYPERLINK(""http://www.ase.ro/"", ""http://www.ase.ro/"")"
Academia Nacional Superior de Orquesta,Portugal,"=HYPERLINK(""http://www.oml.pt/anso/"", ""http://www.oml.pt/anso/"")"
Academia Tehnica Militara,Romania,"=HYPERLINK(""http://www.mta.ro/"", ""http://www.mta.ro/"")"
Academy of Arts,Albania,"=HYPERLINK(""http://www.akademiaearteve.edu.al/"", ""http://www.akademiaearteve.edu.al/"")"
"Academy of Arts ""George Enescu"" Iasi",Romania,"=HYPERLINK(""http://www.arteiasi.ro/"", ""http://www.arteiasi.ro/"")"
Academy of Arts in Banská Bystrica,Slovakia,"=HYPERLINK(""http://www.aku.sk/"", ""http://www.aku.sk/"")"
Academy of Drama and Film,Hungary,"=HYPERLINK(""http://www.filmacademy.hu/"", ""http://www.filmacademy.hu/"")"
"Academy of Economics ""Dimitur A. Tscenov""",Bulgaria,"=HYPERLINK(""https://www.uni-svishtov.bg/"", ""https://www.uni-svishtov.bg/"")"
Academy of Economics in Cracow,Poland,"=HYPERLINK(""http://www.ae.krakow.pl/"", ""http://www.ae.krakow.pl/"")"
Academy of Economics in Katowice,Poland,"=HYPERLINK(""http://www.ae.katowice.pl/"", ""http://www.ae.katowice.pl/"")"
Academy of Economics in Poznan,Poland,"=HYPERLINK(""http://www.ae.poznan.pl/"", ""http://www.ae.poznan.pl/"")"
Academy of Economics in Wroclaw,Poland,"=HYPERLINK(""http://www.ae.wroc.pl/"", ""http://www.ae.wroc.pl/"")"
Academy of Finance,Vietnam,"=HYPERLINK(""https://hvtc.edu.vn/"", ""https://hvtc.edu.vn/"")"
Academy of Fine Arts,Finland,"=HYPERLINK(""http://www.kuva.fi/"", ""http://www.kuva.fi/"")"
Academy of Fine Arts and Design in Bratislava,Slovakia,"=HYPERLINK(""http://www.vsvu.sk/"", ""http://www.vsvu.sk/"")"
Academy of Humanities and Economics in Lodz,Poland,"=HYPERLINK(""http://www.ahe.edu.pl/"", ""http://www.ahe.edu.pl/"")"
"Academy of International Economic and Political Relations, Gdynia",Poland,"=HYPERLINK(""http://www.wsms.edu.pl/"", ""http://www.wsms.edu.pl/"")"
Academy of Management and Entrepreneurship,Russia,"=HYPERLINK(""http://www.ame.ru/"", ""http://www.ame.ru/"")"
"Academy of Music, Dance and Fine Arts",Bulgaria,"=HYPERLINK(""https://www.artacademyplovdiv.com/"", ""https://www.artacademyplovdiv.com/"")"
"Academy of Music ""Georghe Dima"" Cluj-Napoca",Romania,"=HYPERLINK(""http://www.amgd.eu/"", ""http://www.amgd.eu/"")"
"Academy of Performing Arts, Film and TV Fakulty",Czech Republic,"=HYPERLINK(""http://www.famu.cz/"", ""http://www.famu.cz/"")"
Academy of Public Administration,Azerbaijan,"=HYPERLINK(""http://www.dia.edu.az/"", ""http://www.dia.edu.az/"")"
Academy of Public Administration of Belarus,Belarus,"=HYPERLINK(""http://www.pac.by/"", ""http://www.pac.by/"")"
Academy of Sports and Physical Training,Albania,"=HYPERLINK(""http://www.aefs.edu.al/"", ""http://www.aefs.edu.al/"")"
Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,"=HYPERLINK(""http://academy.mia.by/"", ""http://academy.mia.by/"")"
Acadia University,Canada,"=HYPERLINK(""https://www.acadiau.ca/"", ""https://www.acadiau.ca/"")"
Accord University,Somalia,"=HYPERLINK(""https://accord.edu.so"", ""https://accord.edu.so"")"
Accra Polytechnic,Ghana,"=HYPERLINK(""http://apoly.edu.gh/"", ""http://apoly.edu.gh/"")"
Acdemic Center for Law and Business,Israel,"=HYPERLINK(""https://clb.ac.il/"", ""https://clb.ac.il/"")"
Acharya Nagarjuna University,India,"=HYPERLINK(""http://www.nagarjunauniversity.ac.in/"", ""http://www.nagarjunauniversity.ac.in/"")"
Acharya Narendra Deva University of Agriculture and Technology,India,"=HYPERLINK(""http://www.nduat.org/"", ""http://www.nduat.org/"")"
Acharya Ranga Agricultural University,India,"=HYPERLINK(""http://www.angrau.net/"", ""http://www.angrau.net/"")"
Adama Science and Technology University,Ethiopia,"=HYPERLINK(""http://www.astu.edu.et/"", ""http://www.astu.edu.et/"")"
Adamawa State University,Nigeria,"=HYPERLINK(""http://www.adsu.edu.ng/"", ""http://www.adsu.edu.ng/"")"
Adam Mickiewicz University of Poznan,Poland,"=HYPERLINK(""http://www.amu.edu.pl/"", ""http://www.amu.edu.pl/"")"
Adamson University,Philippines,"=HYPERLINK(""http://www.adamson.edu.ph/"", ""http://www.adamson.edu.ph/"")"
Addis Ababa Science & Technology University,Ethiopia,"=HYPERLINK(""http://www.aastu.edu.et/"", ""http://www.aastu.edu.et/"")"
Addis Ababa University,Ethiopia,"=HYPERLINK(""http://www.aau.edu.et/"", ""http://www.aau.edu.et/"")"
